News URL,Title,Summary (Shortened),Published Date,Top 5 Keywords
https://www.dtnext.in/news/sports/world-boxing-cup-clinical-jamwal-storms-into-65-kg-final-829006,World Boxing Cup: Clinical Jamwal Storms Into 65 Kg Final,"The 22-year-old Indian used his tall frame and athleticism to stay clear of Malanga’s reach, but was quick enough to pounce when his rival's guard was down to earn a 5:0 unanimous verdict on Friday",2025-04-05 15:20:55,"To, His, S, Was, The"
https://www.thehindu.com/news/cities/Madurai/restored-century-old-court-building-inaugurated-at-kanniyakumari-district-court-campus/article69416893.ece,Restored Century-Old Court Building Inaugurated At Kanniyakumari District Court Campus,N/A,2025-04-05 15:20:42,"N, A"
https://economictimes.indiatimes.com/news/international/us/who-is-kaitlan-collins-the-cnn-anchor-who-has-been-rattling-donald-trump-and-his-administration/articleshow/120019865.cms,Who Is Kaitlan Collins? The Cnn Anchor Who Has Been Rattling Donald Trump And His Administration,"CNN anchor Kaitlan Collins, known for her firm questioning, has become a prominent critic of Donald Trump. Despite her conservative beginnings at The Daily Caller, she has gained recognition as CNN...",2025-04-05 15:20:32,"Her, Cnn, Collins, For, Has"
https://kalingatv.com/business/chatgpt-plus-subscription-is-now-available-for-free-for-these-users-limited-to-certain-countries-only/,"Chatgpt Plus Subscription Is Now Available For Free For These Users, Limited To Certain Countries Only",ChatGPT Plus by OpenAI is now available for free for some users till the end of May 2025. This has been announced by none other than the company’s CEO Sam Altman. ChatGPT Plus subscription which us...,2025-04-05 15:20:30,"For, The, Chatgpt, Plus, Free"
https://www.latestly.com/agency-news/sports-news-rajasthan-arunachal-pradesh-chhattisgarh-and-himachal-pradesh-win-6761159.html,"Sports News | Rajasthan, Arunachal Pradesh, Chhattisgarh And Himachal Pradesh Win","Get latest articles and stories on Sports at LatestLY. Rajasthan, Arunachal Pradesh, Chhattisgarh, Himachal Pradesh, Chandigarh and Goa won their respective matches in the men's national hockey cha...",2025-04-05 15:20:22,"And, On, Pradesh, Get, Latest"
https://www.latestly.com/agency-news/sports-news-pm-modi-meets-1996-world-cup-winning-sri-lankan-cricket-legends-in-colombo-6761160.html,Sports News | Pm Modi Meets 1996 World Cup-Winning Sri Lankan Cricket Legends In Colombo,Get latest articles and stories on Sports at LatestLY. PM Modi is on a State visit to Sri Lanka from April 4 to 6 at the invitation of Sri Lankan President Disanayaka. His arrival in Colombo on Fri...,2025-04-05 15:20:22,"Sri, The, On, At, To"
https://www.hindustantimes.com/cities/lucknow-news/instructor-dies-during-para-jumping-exercise-in-agra-101743866406695.html,Instructor Dies During Para Jumping Exercise In Agra,"Sub-inspector Farooq Khan, the in charge of Agra’s Lal Kurti police outpost, said the deceased was identified as warrant officer RK Tiwari, 41, who hailed from Pratapgarh district",2025-04-05 15:20:06,"The, Sub, Inspector, Farooq, Khan"
https://startupnews.fyi/2025/04/05/robots-fraught-consumers-star-in-china-ai-videos-mocking-tariffs/,"Robots, Fraught Consumers Star In China Ai Videos Mocking Tariffs","China’s state-run media has taken to the internet with AI-generated videos, featuring dancing robots and fraught consumers, to chide U.S. President Donald Trump and tariffs they say threaten high i...",2025-04-05 15:20:05,"And, S, To, The, Tariffs"
https://www.hindustantimes.com/entertainment/others/l2-empuraan-worldwide-box-office-collection-day-9-mohanlal-prithviraj-film-beats-yashs-kgf-chapter-1-lifetime-haul-101743863759531.html,L2 Empuraan Worldwide Box Office Collection Day 9: Mohanlal-Prithviraj Film Beats Yash'S Kgf Chapter 1 Lifetime Haul,L2 Empuraan worldwide box office collection day 9: The Prithviraj Sukumaran-directed Mohanlal-starrer is now the highest-grossing Malayalam film.,2025-04-05 15:20:02,"The, L2, Empuraan, Worldwide, Box"
https://news.google.com/rss/articles/CBMilgJBVV95cUxPemhJaDZPSHZwRVA0U2hOd0JVZmx4Ml9Dc2l4T3NfMUtFQXNpV3hpUEwxTWN2aXkzTVRzUFRwalg0MGkyRWp4d29sZjYxVmJJR0ppMFkwbVVPSTdrSUk1SWw2RFhsbmVNSEpNQjFCRGNENVptcmFOUzRSSzJuWG84MklTcXRZcW1lNGNObWJEVXpoRUdSUDg0QVI4blZoYjhJMjhhM2hjckJIR3JfTXRObEh5Q2lBbHZDNXRsSlRLQWdyaHRRRnB2czJuOVlaX29BdWtYWFRoNHdJbHRnQlB0OTZQTVNXMWZ5ZDVmcllIT3lZWHpxYWc1bDZwQ3Voc29jLUYyRll4VUpjeTFtQ0RTWmdSRm5Udw?oc=5,L2 Empuraan Worldwide Box Office Collection Day 9: Mohanlal-Prithviraj Film Beats Yash'S Kgf Chapter 1 Lifetime Haul - Hindustan Times,L2 Empuraan worldwide box office collection day 9: Mohanlal-Prithviraj film beats Yash's KGF Chapter 1 lifetime haul Hindustan TimesL2: Empuraan’: Mohanlal and Prithviraj Sukumaran’s movie beats Ya...,2025-04-05 15:20:02,"Empuraan, Collection, Mohanlal, S, Day"
